Clone Overlap for Change version-585, jscript.c, a, 146, 146: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, c, 149, 149: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, a, 150, 150: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, c, 153, 153: 1 (CloneClass: 69)
Clone Overlap for Change version-585, jscript.c, a, 269, 269: 2 (CloneClass: 7)
Clone Overlap for Change version-585, jscript.c, c, 428, 431: 1 (CloneClass: 59)
Clone Overlap for Change version-585, jscript.c, c, 462, 462: 1 (CloneClass: 38)
Clone Overlap for Change version-585, jscript.c, c, 473, 473: 1 (CloneClass: 58)
Clone Overlap for Change version-585, jscript.c, c, 478, 478: 2 (CloneClass: 25, 58)
Clone Overlap for Change version-585, jscript.c, d, 486, 489: 1 (CloneClass: 57)
Clone Overlap for Change version-607, c.c, d, 1595, 1606: 1 (CloneClass: 68)
Clone Overlap for Change version-631, python.c, c, 227, 227: 1 (CloneClass: 91)
Clone Overlap for Change version-634, jscript.c, c, 443, 443: 2 (CloneClass: 22, 62)
Clone Overlap for Change version-635, jscript.c, c, 360, 360: 1 (CloneClass: 22)
Clone Overlap for Change version-635, jscript.c, c, 367, 367: 1 (CloneClass: 22)
Clone Overlap for Change version-643, sql.c, c, 442, 443: 1 (CloneClass: 7)
Clone Overlap for Change version-643, sql.c, a, 454, 454: 1 (CloneClass: 7)
Clone Overlap for Change version-643, sql.c, c, 651, 651: 1 (CloneClass: 52)
Clone Overlap for Change version-643, sql.c, c, 766, 766: 2 (CloneClass: 47, 68)
Clone Overlap for Change version-654, vhdl.c, c, 283, 283: 1 (CloneClass: 72)
Clone Overlap for Change version-654, vhdl.c, c, 293, 293: 1 (CloneClass: 14)
Clone Overlap for Change version-654, vhdl.c, c, 295, 295: 1 (CloneClass: 14)
Clone Overlap for Change version-654, vhdl.c, c, 307, 307: 1 (CloneClass: 24)
Clone Overlap for Change version-654, vhdl.c, c, 317, 317: 1 (CloneClass: 47)
Clone Overlap for Change version-654, vhdl.c, c, 332, 333: 1 (CloneClass: 106)
Clone Overlap for Change version-654, vhdl.c, c, 376, 377: 1 (CloneClass: 3)
Clone Overlap for Change version-654, vhdl.c, c, 390, 390: 1 (CloneClass: 16)
Clone Overlap for Change version-654, vhdl.c, c, 398, 399: 2 (CloneClass: 23)
Clone Overlap for Change version-654, vhdl.c, c, 408, 410: 2 (CloneClass: 15)
Clone Overlap for Change version-654, vhdl.c, c, 427, 427: 1 (CloneClass: 22)
Clone Overlap for Change version-654, vhdl.c, c, 446, 446: 1 (CloneClass: 94)
Clone Overlap for Change version-654, vhdl.c, c, 452, 453: 2 (CloneClass: 37, 94)
Clone Overlap for Change version-654, vhdl.c, c, 462, 464: 1 (CloneClass: 13)
Clone Overlap for Change version-654, vhdl.c, c, 505, 506: 1 (CloneClass: 57)
Clone Overlap for Change version-654, vhdl.c, c, 508, 518: 1 (CloneClass: 33)
Clone Overlap for Change version-654, vhdl.c, c, 522, 522: 1 (CloneClass: 33)
