Clone Overlap for Change version-213, c.c, a, 715, 715: 1 (CloneClass: 30)
Clone Overlap for Change version-213, c.c, a, 718, 718: 1 (CloneClass: 30)
Clone Overlap for Change version-213, c.c, a, 790, 790: 1 (CloneClass: 10)
Clone Overlap for Change version-213, c.c, a, 793, 793: 1 (CloneClass: 10)
Clone Overlap for Change version-213, c.c, a, 1154, 1154: 1 (CloneClass: 38)
Clone Overlap for Change version-213, c.c, c, 1156, 1156: 1 (CloneClass: 38)
Clone Overlap for Change version-217, c.c, c, 305, 305: 1 (CloneClass: 46)
Clone Overlap for Change version-217, c.c, a, 399, 399: 1 (CloneClass: 4)
Clone Overlap for Change version-217, c.c, a, 486, 486: 1 (CloneClass: 1)
Clone Overlap for Change version-217, c.c, a, 490, 490: 1 (CloneClass: 25)
Clone Overlap for Change version-217, c.c, a, 497, 497: 1 (CloneClass: 25)
Clone Overlap for Change version-217, c.c, a, 517, 517: 1 (CloneClass: 1)
Clone Overlap for Change version-217, c.c, a, 688, 688: 1 (CloneClass: 4)
Clone Overlap for Change version-217, c.c, a, 1449, 1449: 1 (CloneClass: 44)
Clone Overlap for Change version-217, c.c, a, 1566, 1566: 1 (CloneClass: 14)
Clone Overlap for Change version-217, get.c, a, 248, 248: 1 (CloneClass: 9)
Clone Overlap for Change version-217, get.c, a, 249, 249: 1 (CloneClass: 9)
Clone Overlap for Change version-217, get.c, a, 255, 255: 1 (CloneClass: 9)
Clone Overlap for Change version-226, cobol.c, c, 28, 28: 1 (CloneClass: 22)
Clone Overlap for Change version-226, cobol.c, d, 30, 31: 1 (CloneClass: 22)
Clone Overlap for Change version-226, cobol.c, c, 33, 33: 1 (CloneClass: 22)
Clone Overlap for Change version-234, asp.c, a, 71, 71: 1 (CloneClass: 10)
Clone Overlap for Change version-240, c.c, d, 463, 463: 2 (CloneClass: 4, 5)
Clone Overlap for Change version-240, c.c, c, 1574, 1574: 1 (CloneClass: 34)
Clone Overlap for Change version-242, c.c, a, 540, 540: 1 (CloneClass: 1)
Clone Overlap for Change version-242, c.c, c, 569, 569: 1 (CloneClass: 17)
Clone Overlap for Change version-242, c.c, c, 578, 578: 1 (CloneClass: 17)
Clone Overlap for Change version-242, c.c, a, 600, 600: 1 (CloneClass: 1)
Clone Overlap for Change version-242, c.c, a, 734, 734: 1 (CloneClass: 5)
Clone Overlap for Change version-242, c.c, a, 1575, 1575: 1 (CloneClass: 36)
Clone Overlap for Change version-242, c.c, a, 1679, 1679: 1 (CloneClass: 14)
Clone Overlap for Change version-243, c.c, a, 606, 606: 2 (CloneClass: 1)
Clone Overlap for Change version-245, c.c, d, 607, 607: 1 (CloneClass: 1)
Clone Overlap for Change version-248, vim.c, c, 23, 23: 1 (CloneClass: 62)
